id,x,y,village,locality
1,34.44006,13.69201,abo rakham,Almafaza
2,34.51158,13.62992,abu shaibah barno,Almafaza
3,34.46096,13.63248,abu shaibah garib,Almafaza
4,34.51693,13.62591,banat,Almafaza
5,34.83371,13.68023,bila,Almafaza
6,34.3585,13.74471,el amarah(near al gerefat),Almafaza
7,34.48498,13.68402,el dobaseyeen,Almafaza
8,34.41591,13.71784,el gedeyrab,Almafaza
9,34.35771,13.7574,el gereefat,Almafaza
10,34.69046,13.60393,el hileeba,Almafaza
11,34.37597,13.69231,el iteefah,Almafaza
12,34.38724,13.68628,el iteefah elmanarah,Almafaza
13,34.53769,13.56812,el khashkhashah,Almafaza
14,34.52543,13.63569,el khtmeeyah,Almafaza
15,34.54169,13.60775,el mafazah,Almafaza
16,34.50846,13.52746,el shagah,Almafaza
17,34.30354,13.73884,el sharafah,Almafaza
18,34.52756,13.52812,el usharah,Almafaza
19,34.49852,13.64268,el wahedo,Almafaza
20,34.39618,13.75321,elteneedbah sharag,Almafaza
21,34.38805,13.74887,elteneedbah gaerib(malamgado),Almafaza
22,34.72631,13.61856,gulbi,Almafaza
23,34.33306,13.72929,halali,Almafaza
24,34.52158,13.55995,hari abakar,Almafaza
25,34.37951,13.7361,hawa el benyah,Almafaza
26,34.5235,13.64655,helat el shareef,Almafaza
27,34.53031,13.63078,helat malek,Almafaza
28,34.35749,13.70809,hilat ali,Almafaza
29,34.52013,13.55652,hilat shuaibou,Almafaza
30,34.509,13.64182,kamar sambo,Almafaza
31,34.78048,13.5996,makarnado,Almafaza
32,34.39012,13.7455,malm jalo,Almafaza
33,34.2614,13.75967,nor elhuda,Almafaza
34,34.51986,13.54922,um fajo,Almafaza
35,34.51834,13.50294,um tukosa,Almafaza
36,34.40151,13.62453,wad awad,Almafaza
37,34.41604,13.66215,wad el atrash,Almafaza
38,34.52982,13.6436,wad el knoon,Almafaza
39,34.3236,13.7426,wad el rawaj,Almafaza
40,34.50243,13.66642,wad el sabur,Almafaza
41,34.51508,13.64802,wad gateet,Almafaza
42,34.40343,13.64048,wad mahmood,Almafaza
43,35.88575,13.18668,alaam,Basunda
44,35.61243344,12.72066046,aoodah,Basunda
45,35.58051017,12.72464052,babanosah,basunda
46,35.7647,12.99553,babekry,Basunda
47,35.92006,12.90225,basanga,Basunda
48,35.84477,12.98328,basundah,Basunda
49,35.59474,12.71942,el fazraa,Basunda
50,36.14014,12.95876,el galabat,Basunda
51,35.8646,12.75975,el haskaneet,Basunda
52,36.03334,13.12646,el hojar el zorug ,Basunda
53,35.91794,13.24201,el jammam,Basunda
54,35.86686,12.95673,el rumeylah,Basunda
55,35.983,12.93573,el seafah,Basunda
56,35.88053,13.05875,el temeyTah,Basunda
57,35.88456,13.08264,gezoley,Basunda
58,35.94238,13.09975,gryganah,Basunda
59,35.63081,12.70748,hantoob,Basunda
60,35.76073,12.67473,jazeerat el dood,Basunda
61,35.69503,12.6925,kareemah,Basunda
62,36.02515,13.01766,khor saad,Basunda
63,35.95299,12.98708,khor shatah,Basunda
64,36.00818,13.1005,koneenah elbeer,Basunda
65,35.91729,13.00241,kornekela,Basunda
66,36.0281,13.12207,kuneenah tabaldeyah,Basunda
67,35.56653,13.00121,mabrookah(lamlamo/alkherat),Basunda
68,36.08239,13.00395,otrub,Basunda
69,35.86393,13.22228,saraf saeed,Basunda
70,36.07437,12.964,shangal,Basunda
71,35.87177,13.12204,tamarah,Basunda
72,36.04882,12.77878,tayah(Basunda),Basunda
73,35.90861,12.75741,um debeloo,Basunda
74,35.92331,13.12819,um kharayeet,Basunda
75,35.87404,13.06662,um meleeha,Basunda
76,36.00416,12.8889,wad abo lesan,Basunda
77,35.94364,13.016,wad abo taher,Basunda
78,36.0225,12.8053,wad el ajooz,Basunda
79,35.92214,13.2316,wad koseebah,Basunda
80,35.85947,13.01347,yaseen,Basunda
81,35.766899,13.1772,danikola,Basunda
82,35.8833,12.9333,hayafa,Basunda
83,36.13277,13.46316,abduelmajeed,Eastern El Qalabat
84,36.02558,13.26142,abduelwahab,Eastern El Qalabat
85,35.82048,13.5469,abo irwah,Eastern El Qalabat
86,36.02256,13.28574,aseel,Eastern El Qalabat
87,36.02406,13.30839,dor um zeenah,Eastern El Qalabat
88,36.03389,13.33275,el azazah,Eastern El Qalabat
89,35.8509,13.33249,el saboot,Eastern El Qalabat
90,35.53917,13.31467,eldroot,Eastern El Qalabat
91,35.58126,13.63628,elhamraa,Eastern El Qalabat
92,35.47645,13.22772,elkafay,Eastern El Qalabat
93,35.71109,13.6273,elsameenah,Eastern El Qalabat
94,35.85664,13.46189,elsaraf elahmar,Eastern El Qalabat
95,35.86668,13.46381,elsaraf amaarah,Eastern El Qalabat
96,35.8723,13.4639,elsaraf bawey,Eastern El Qalabat
97,35.86966,13.44424,elsaraf elbadya,Eastern El Qalabat
98,35.86223,13.44001,elsaraf ibraheem,Eastern El Qalabat
99,35.72987,13.6014,elsireefah(EG),Eastern El Qalabat
100,35.76376,13.5763,greeb,Eastern El Qalabat
101,36.02954,13.21926,helat khater,Eastern El Qalabat
102,36.09698,13.43339,jumeezah,Eastern El Qalabat
103,36.07417,13.26567,koneenah sofia,Eastern El Qalabat
104,35.88143,13.34022,madag,Eastern El Qalabat
105,35.9169,13.35278,mahalah,Eastern El Qalabat
106,35.8972,13.29224,maryood,Eastern El Qalabat
107,36.08653,13.41564,mohammed musa,Eastern El Qalabat
108,36.02306,13.25827,radah,Eastern El Qalabat
109,35.63599,13.52041,rashed,Eastern El Qalabat
110,36.01876,13.30379,sondus,Eastern El Qalabat
111,35.8485,13.46224,elsaraf tabldeeyah,Eastern El Qalabat
112,35.63085,13.55138,twareet,Eastern El Qalabat
113,36.06587,13.38412,um adarah,Eastern El Qalabat
114,36.08036,13.40491,um deesah haj taher,Eastern El Qalabat
115,36.05787,13.35509,um khatar,Eastern El Qalabat
116,36.04374,12.81801,um rakobah,Eastern El Qalabat
117,35.68517,13.49765,um rakoobah,Eastern El Qalabat
118,36.02827,13.11516,um saye,Eastern El Qalabat
119,35.91249,13.37817,um seneebrah(EG),Eastern El Qalabat
120,35.72908,13.57202,wad elshejarah,Eastern El Qalabat
121,35.82315,13.59488,wad ganoofah,Eastern El Qalabat
122,36.083599,13.4107,omer elsoky,Eastern El Qalabat
123,36.117401,13.437,balola,Eastern El Qalabat
124,36.022099,13.285,tokar,Eastern El Qalabat
125,36.020699,13.2629,Gds,Eastern El Qalabat
126,35.793301,13.4673,sanon,Eastern El Qalabat
127,35.24038,15.00076,abo gambeel el shershb,El Butana
128,34.69768,15.02932,abo geraad,El Butana
129,35.04381,14.951,arrugail,El Butana
130,34.77502,14.69074,edad banat,El Butana
131,34.79724,14.63655,edad el hamar,El Butana
132,34.71232,14.6995,edad sameena,El Butana
133,34.74616,14.6559,edad shaa el deen,El Butana
134,34.76585,14.72487,edad touwal,El Butana
135,34.7715,14.70295,edad wad elzain,El Butana
136,34.57526,15.41221,el bahogy,El Butana
137,35.11444,14.97798,el beras,El Butana
138,33.80893,15.54667,el derehan,El Butana
139,34.9251,14.72841,el elaw,El Butana
140,35.02291,15.04166,el fool,El Butana
141,33.70035,15.47817,el gadoorab,El Butana
142,34.99738,15.02667,el gafala,El Butana
143,35.03135,15.18473,el geleeb,El Butana
144,35.04725,14.41675,el hesneeyah,El Butana
145,34.29613,15.37838,el hagar,El Butana
146,35.1391,14.885,el hushaib,El Butana
147,35.03728,15.23603,el sadda,El Butana
148,35.03728,15.23603,el sadda ganoob,El Butana
149,33.78605,15.49071,el shebeak(el hasnab),El Butana
150,34.80398879,15.29726239,el subaag,El Butana
151,34.70593,15.49257,el sufayah,El Butana
152,34.86549,14.99024,el tekoon,El Butana
153,35.13137,15.11196,gaad allah,El Butana
154,33.76625,15.56982,geyli el gelea,El Butana
155,33.73272,15.51277,geyli el souk,El Butana
156,35.09872,14.83922,hushaib arakeen,El Butana
157,35.21342,14.97419,jabal el geer,El Butana
158,34.68707,15.35119,reara,El Butana
159,34.95509,14.83289,serooj mahmood,El Butana
160,35.04976,14.94494,suroj monana,El Butana
161,34.2851,15.66918,um khatam,El Butana
162,34.38406,15.61704,um rewashed,El Butana
163,34.8845,14.70651,um sarha,El Butana
164,33.8381,15.63375,wad agwa,El Butana
165,34.38165,15.79583,el geleata,El Butana
166,34.755299,15.3198,Halat Hamad,El Butana
167,35.91096,14.77033,abu gengel,El Fashaga
168,35.88235,14.83705,al dwah,El Fashaga
169,35.99279,14.05609,ajab sedo,El Fashaga
170,35.99341,14.05464,ajab sedoo,El Fashaga
171,36.2304,13.87643,alban jadeed(El fashaga),El Fashaga
172,35.90791,14.76325,al sharfa,El Fashaga
173,35.9663,14.23967,burgoma,El Fashaga
174,36.07227,13.96316,darabi shareg,El Fashaga
175,36.23965,13.94815,el geleea,El Fashaga
176,36.36195,14.26572,el godeemah,El Fashaga
177,35.86919,14.63562,el japparap,El Fashaga
178,35.86761,14.59253,el mansoora,El Fashaga
179,35.87741,14.43734,el merebeea,El Fashaga
180,35.87486,14.27402,el morabaa,El Fashaga
181,35.87756,14.62325,el mugasema,El Fashaga
182,35.74144,14.40599,el muharrgat,El Fashaga
183,35.90239,14.2466,el rymeela,El Fashaga
184,35.87802261,14.55844518,el shareef hasb allah,El Fashaga
185,35.84364,14.30082,el toomat,El Fashaga
186,35.93951,14.10642,elbahkar gareb,El Fashaga
187,35.8839,14.47824,hajar abyad,El Fashaga
188,35.87036,14.49249,ilayan,El Fashaga
189,35.65598,14.61852,karkoora,El Fashaga
190,35.87024,14.50076,katoota,El Fashaga
191,35.8551,14.4967,mabrooka,El Fashaga
192,35.86887,14.69185,mageet abd elnabi,El Fashaga
193,35.86507,14.64373,el mugata el zain,El Fashaga
194,35.86386,14.6711,al mugata suge,El Fashaga
195,35.9135,14.80492,el shagrab janoob,El Fashaga
196,35.88114,14.71216,shalateeb,El Fashaga
197,35.88574,14.46215,shengerara,El Fashaga
198,35.89478,14.74293,al tartar,El Fashaga
199,35.92321,14.21946,taybah(El Fashaga),El Fashaga
200,35.635,14.50552,um gargoor,El Fashaga
201,35.87605,14.6972,wad el faki,El Fashaga
202,35.85873,14.53671,wad el hadey,El Fashaga
203,35.87752,14.58217,wad el khedir,El Fashaga
204,35.87077,14.60275,wad el naeem,El Fashaga
205,35.88224,14.71741,wad farah,El Fashaga
206,35.88429,14.5683,wad hassan,El Fashaga
207,35.87006,14.60701,wad ieesa,El Fashaga
208,35.88271,14.70723,wad mageet,El Fashaga
209,35.88658,14.57491,wad mageet showat,El Fashaga
210,35.87627,14.70154,wad matar,El Fashaga
211,35.8699,14.63867,wad sewar,El Fashaga
212,35.87132,14.30872,mugran seteet,El fashaga
213,35.865297,14.581708,almadina Arab,El fashaga
214,35.878934,14.227196,madina1,El fashaga
215,36.049276,14.058151,madina2,El fashaga
216,35.877662,14.004427,madina3,El fashaga
217,36.02825,14.17853,madina6,El fashaga
218,36.083944,14.153969,madina7,El fashaga
219,36.123651,14.174564,madina8,El fashaga
220,34.07712,13.91389,abo ashoosh,El Faw
221,34.14215,14.10223,banat el lauta,El Faw
222,34.21902,13.80259,cambo 10,El Faw
223,34.2712,13.80596,cambo 6,El Faw
224,34.25784,13.79419,cambo 7,El Faw
225,34.10891,13.8884,cambo abo zahrah,El Faw
226,34.14231,13.88824,cambo alban jadeed,El Faw
227,34.19421,13.84224,dar el salam,El Faw
228,33.95895,14.11673,el akaas,El Faw
229,34.20251,14.10368,el benayah el sadgab,El Faw
230,33.99189,14.33622,el bewayda,El Faw
231,34.12226,14.12401,el bwadrah,El Faw
232,34.01862,13.99786,el degerab,El Faw
233,34.32172,14.15887,el dubasyeen,El Faw
234,34.08646,14.1111,el faw,El Faw
235,33.97398,14.07058,el jaafrah,El Faw
236,34.28619,14.16526,el semeryat,El Faw
237,34.31173,13.79515,Garya1,El Faw
238,34.21105,14.01053,Garya11,El Faw
239,34.17527,14.01201,Garya12,El Faw
240,34.09783,14.00765,Garya14,El Faw
241,34.13504,14.01204,Garya13,El Faw
242,34.05682,14.01763,Garya15,El Faw
243,34.20268,14.09695,Garya16,El Faw
244,34.09103,14.0772,Garya17,El Faw
245,34.01941,14.08524,Garya18,El Faw
246,34.0209,14.13697,Garya19,El Faw
247,34.25316,13.81637,Garya2,El Faw
248,33.97411,14.14984,Garya20,El Faw
249,34.31072,13.83562,Mejar1,El Faw
250,34.2677,13.85222,Garya3,El Faw
251,34.25481,13.94063,elrai36,El Faw
252,34.26324,13.94574,Garya36,El Faw
253,34.20264,13.864,Garya4,El Faw
254,34.25027,13.89028,Garya5,El Faw
255,34.22702,13.9242,Garya6,El Faw
256,34.15248,13.92176,Garya7,El Faw
257,34.08883,13.93627,Garya8,El Faw
258,34.11347,14.13265,Garya elmamoorah,El Faw
259,34.16493,14.04659,Gantra 60,El Faw
260,34.12306,13.86326,haj idrees,El Faw
261,34.24799,14.13961,harerah el maashrah,El Faw
262,34.26142,14.15227,harerah el rtamat,El Faw
263,34.16072,14.10181,jabal el meleh,El Faw
264,34.12001,13.81521,kahelah,El Faw
265,34.20591,13.83222,mabrooka,El Faw
266,34.10647,14.10881,mabrooka,El Faw
267,34.12603,14.04707,mejar 4,El Faw
268,34.05546,14.18071,mejar 5,El Faw
269,34.03688,14.08686,mayo,El Faw
270,34.34132,13.79088,reweena,El Faw
271,34.04501,13.97589,sabreen,El Faw
272,33.99023,14.04487,shrab,El Faw
273,33.93658,14.13156,um gradah,El Faw
274,34.09459,13.86122,um tareezah,El Faw
275,34.36203,13.77316,wad el ard,El Faw
276,34.2369,14.13352,wad el faki,El Faw
277,34.28333,14.13123,wad el hewery,El Faw
278,34.18552,14.12358,wad el mada,El Faw
279,34.112,14.11681,wad gees,El Faw
280,34.2289,14.12579,wad ikheeshin(hareera),El Faw
281,34.05194,13.99216,wad ikheeshn (albahar),El Faw
282,34.16982,14.1262,wad noreen,El Faw
283,34.21022,14.09411,wad reheemah,El Faw
284,34.1983,14.12265,wad sageer,El Faw
285,33.99418,14.02931,wad saneen,El Faw
286,34.16804,13.76857,el leweesah,El faw
287,34.22104,13.73751,el shalalah,El faw
288,34.139205,13.962319,Garya10,El Faw
289,35.88401306,13.66423315,abo glood,El Quresha
290,36.0959,13.74964,areydah shamal,El Quresha
291,36.095655,13.740521,aryedah ganoob,El Quresha
292,36.13685451,13.64791129,burbur el fogara,El Quresha
293,36.15833,13.80129,cambo dajo,El Quresha
294,36.20171,13.74902,daw gendeebah,El Quresha
295,36.16539,13.78548,el edreyah,El Quresha
296,35.84347015,13.70381874,el galah,El Quresha
297,35.81346549,13.71648839,el galah el donky,El Quresha
298,35.92668223,13.71578486,el goreeshah,El Quresha
299,35.83501,13.90245,eltamargoo,El Quresha
300,36.24924,13.68466,gazeerat el dabey,El Quresha
301,36.14117796,13.62830992,jabal gana,El Quresha
302,35.93396765,13.61671451,kakom,El Quresha
303,36.1968033,13.59336301,khoor zaraf,El Quresha
304,36.09393,13.87987,kona gamar,El Quresha
305,36.08623,13.89109,kona zaburma,El Quresha
306,36.25834579,13.52448133,marbatah,El Quresha
307,36.11817,13.72155,mudardamah,El Quresha
308,36.30809548,13.58049216,muderyeah al jika ,El Quresha
309,36.24073621,13.51726927,mushra  el neel,El Quresha
310,36.10991,13.85809,sefawa,El Quresha
311,36.16291,13.78623,sharboob gareb,El Quresha
312,36.16539,13.78548,sharboob shareg,El Quresha
313,35.86764016,13.74613,shuayb,El Quresha
314,36.09368328,13.62289744,tabarak allah,El Quresha
315,36.28884,13.61825,el tybar,El Quresha
316,36.22887,13.71619,um gezaz gareb,El Quresha
317,36.22887,13.71619,um gezaz shareg,El Quresha
318,36.22050806,13.5262717,um tawakal,El Quresha
319,36.27707,13.66702,wad aarood,El Quresha
320,36.09686013,13.67998119,wad harrey,El Quresha
321,36.28278193,13.54616691,wad kawley,El Quresha
322,35.93887721,13.75697702,wad yusuf,El Quresha
323,36.161065,13.483187,birkt Norein,El Quresha
324,36.171622,13.500855,Edd elforsan,El Quresha
325,36.297159,13.605669,Al Asirra,El Quresha
326,36.168999,13.5556,Saraf Aradeiba,El Quresha
327,36.032058,13.948944,madina4,El Quresha
328,35.912506,13.876911,madina5,El Quresha
329,34.52976,13.58771,abu digin,EL Rahad
